"⚾  MLB HOME RUN MODEL  —  Thursday, September 17, 2026",,,,,,,,,,,,,,,,,,,,,,,
"Top 83 HR Picks  |  10,000 Monte Carlo Sims  |  Power + Matchup + Bullpen + Vegas + PropLine Odds",,,,,,,,,,,,,,,,,,,,,,,
Rank,Batter,Status,Game Time,Team,Opp,Pitcher,HR Odds,HR Prob,"Score
/100",Power,Vuln,"Pitch
Match",Park,Env,Est PA,"Edge
vs Mkt","Hit
Score","Sig
Score","NearHR
Count","NearHR
PA","NearHR
Rate","NewConv
CONV100","DFF
Cross-Check"
26,Héctor Rodríguez,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+400,0.2008,41.7,79.4,44.9,0.983,1.2,1.354,4.1,+0.1%,11.8,0,0,0,0.0,41,– (7.5fp)
27,W. Contreras,📋 Proj,8:05 PM ET,BOS,TEX,Tyler Alexander,+420,0.1533,63.8,88.0,42.6,1.092,1.08,1.101,4.4,+16.9%,49.7~,6,0,10,0.0,45,🥈 T2 (11.5fp)
28,Royce Lewis,📋 Proj,9:38 PM ET,MIN,LAA,Walbert Ureña,+520,0.1591,59.1,84.8,41.4,1.003,1.12,1.163,4.1,+10.2%,29.6,9,0,10,0.0,45,– (8.3fp)
29,Jackson Chourio,✅ Conf,12:35 PM ET,MIL,PIT,Wilber Dotel,+450,0.1588,58.8,84.9,42.0,1.046,0.92,0.901,4.5,+3.5%,6.4,6,0,10,0.0,61,🥈 T2 (12.3fp)
30,J. Caglianone,📋 Proj,7:15 PM ET,KC,HOU,M Ullola,+330,0.1592,58.5,87.4,48.0,1.067,1.01,1.012,4.4,+8.0%,21.4,9,0,10,0.0,61,– (11.0fp)
31,Bryce Harper,📋 Proj,7:15 PM ET,PHI,NYM,Nolan McLean,+470,0.1489,63.5,85.3,43.5,1.077,0.98,1.039,4.4,+6.3%,53.5,6,0,10,0.0,60,🥈 T2 (11.0fp)
32,A. Rutschman,📋 Proj,8:05 PM ET,BOS,TEX,Tyler Alexander,+700,0.2008,37.2,78.7,42.6,0.989,1.08,1.101,4.3,+7.6%,31.7,0,0,10,0.0,22,– (9.3fp)
33,Yandy Díaz,✅ Conf,1:10 PM ET,TB,ATH,Jeffrey Springs,+430,0.1643,53.3,79.5,51.0,1.15,0.91,0.91,4.7,-1.9%,8.0,0,0,10,0.0,62,🥈 T2 (12.1fp)
34,Mike Trout,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+390,0.1527,58.7,84.4,40.4,1.035,1.12,1.163,4.5,+3.9%,27.5,7,0,10,0.0,59,🥈 T2 (10.3fp)
35,Max Muncy,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+230,0.2054,32.8,83.5,67.2,1.039,1.2,1.354,4.4,-9.8%,21.8,0,0,10,0.0,100,– (11.3fp)
36,E. Rodriguez,📋 Proj,9:38 PM ET,MIN,LAA,Walbert Ureña,+520,0.1489,45.5,82.4,41.4,0.921,0.97,1.007,4.0,-1.2%,48.5~,0,1,10,0.1,50,– (7.6fp)
37,V. Grissom,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+830,0.1489,40.2,78.2,40.4,1.002,1.12,1.163,4.4,+4.2%,33.3,0,0,10,0.0,28,– (8.6fp)
38,Juan Brito,✅ Conf,12:40 PM ET,CIN,LAD,Justin Wrobleski,+520,0.1523,38.7,76.8,44.9,0.961,1.16,1.309,4.3,-0.9%,48.1~,1,0,10,0.0,41,– (8.7fp)
39,Elias Diaz,📋 Proj,8:05 PM ET,TEX,BOS,Sonny Gray,+830,0.1141,36.0,79.8,44.6,0.979,1.08,1.101,3.8,+0.7%,33.3,0,0,10,0.0,22,– (6.7fp)
40,Richie Palacios,✅ Conf,1:10 PM ET,TB,ATH,Jeffrey Springs,+1100,0.1412,35.8,75.0,51.0,0.971,0.95,0.95,4.0,+6.4%,40.3~,0,0,10,0.0,22,– (9.1fp)
41,Donovan Walton,✅ Conf,1:10 PM ET,ATH,TB,Drew Rasmussen,+870,0.1123,35.3,76.7,35.9,0.991,0.95,0.95,4.2,+0.9%,18.5,0,0,10,0.0,22,– (7.0fp)
42,S. Torkelson,📋 Proj,7:40 PM ET,DET,CWS,Erick Fedde,+430,0.1118,35.0,81.9,52.1,1.015,0.93,0.881,4.0,+2.9%,42.7~,0,1,10,0.1,61,– (9.0fp)
43,M. Murakami,📋 Proj,7:40 PM ET,CWS,DET,Framber Valdez,N/A,0.1127,27.7,84.7,48.8,1.042,0.97,0.919,4.4,+12.8%,~5,1,0,10,0.0,60,– (1.9fp)
44,Freddie Freeman,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+340,0.164,24.3,77.9,67.2,1.021,1.2,1.354,4.6,-3.0%,5.0,0,0,10,0.0,100,🥈 T2 (12.9fp)
45,J. Crawford,📋 Proj,7:15 PM ET,PHI,NYM,Nolan McLean,+1300,0.1136,21.6,67.4,43.5,0.965,0.98,1.039,3.7,+7.7%,45.0~,0,0,10,0.0,22,– (8.0fp)
46,Cole Carrigg,✅ Conf,3:10 PM ET,COL,SD,Michael King,+760,0.1414,21.3,82.2,45.6,1.004,1.4,1.768,4.5,+2.5%,36.1★,1,3,10,0.3,38,– (9.9fp)
47,Luis Campusano,✅ Conf,3:10 PM ET,SD,COL,Tanner Gordon,+520,0.164,17.7,82.6,52.6,1.017,1.4,1.768,4.2,+0.3%,2.5,0,0,10,0.0,54,– (9.6fp)
48,Z. McKinstry,📋 Proj,7:40 PM ET,DET,CWS,Erick Fedde,+1060,0.1117,10.4,68.1,52.1,0.955,0.97,0.919,3.9,+2.5%,N/A,0,0,10,0.0,31,– (8.4fp)
49,Josue De Paula,✅ Conf,12:40 PM ET,LAD,CIN,Brady Singer,+420,0.1498,5.7,46.5,67.2,1.01,1.2,1.354,4.2,-4.2%,1.0,0,0,0,0.0,100,– (0.0fp)
50,Xander Bogaerts,✅ Conf,3:10 PM ET,SD,COL,Tanner Gordon,+490,0.1641,1.4,77.0,52.6,0.976,1.4,1.768,4.3,-0.5%,1.0,0,0,10,0.0,41,– (11.3fp)
51,Konnor Griffin,✅ Conf,12:35 PM ET,PIT,MIL,Kyle Harrison,+630,0.1489,59.6,80.2,40.2,1.016,0.92,0.901,4.6,+7.6%,49.3~,7,0,10,0.0,40,🥈 T2 (10.2fp)
52,Jonathan Aranda,✅ Conf,1:10 PM ET,TB,ATH,Jeffrey Springs,+560,0.1491,59.5,75.9,51.0,0.999,0.95,0.95,4.6,+5.8%,65.4,2,1,10,0.1,45,– (10.0fp)
53,Ty France,✅ Conf,3:10 PM ET,SD,COL,Tanner Gordon,+370,0.2045,32.6,82.4,52.6,1.042,1.4,1.768,4.5,+3.6%,13.3,0,3,10,0.3,72,– (10.8fp)
54,D. Varsho,📋 Proj,7:15 PM ET,HOU,KC,Seth Lugo,+490,0.164,52.2,78.3,50.3,0.985,1.01,1.012,4.2,-0.5%,35.0★,2,0,10,0.0,38,– (9.8fp)
55,Zach Neto,📋 Proj,9:38 PM ET,LAA,MIN,Taj Bradley,+430,0.1491,58.5,79.1,40.4,1.029,1.12,1.163,4.6,+7.5%,33.5,0,0,10,0.0,45,🥇 T1 (11.2fp)
