Player,Player,Salary,DFF Proj,FPros Proj,NF Proj,SportsLine,DraftEdge Proj,RotoWire Proj,FantasyLabs Proj,FBGuys Proj,B5 Proj,Avg Proj,Weighted,Roster %,Position,Exclude?,,,,,,Weights,
Cam Ward,Cam Ward,6600,14.2,15.457999999999998,14,17.67,15.7,16.79,13.67,15.3172,15.32904,15.34824888888889,15.245588533333333,0.63,QB,,,,,,,,
Geno Smith,Geno Smith,6700,14.1,15.014,11.7,17.22,13.3,15.79,12.96,14.764200000000002,14.559639999999998,14.378648888888888,14.393616533333335,0,QB,,,,,,,,
Justin Jefferson,Justin Jefferson,8100,14.1,13.370000000000001,13,11.96,15.4,14.32,14.4,12.834000000000001,13.0528,13.60408888888889,13.544997333333333,22.39,WR,,,,,,,,
Chris Olave,Chris Olave,7400,14.1,13.340000000000002,13.3,14.39,15.5,13.14,14.16,13.481,13.7222,13.903688888888887,13.825769333333334,7.62,WR,,,,,,,,
Nico Collins,Nico Collins,7700,13.8,12.75,12.7,12.81,16.4,13.65,13.84,13.356000000000002,13.0832,13.598800000000002,13.495116,18.69,WR,,,,,,,,
Breece Hall,Breece Hall,6900,13.6,14.440000000000003,15.3,14.47,15.3,14.37,13.68,13.862,14.334399999999999,14.37293333333333,14.288972,5.74,RB,,,,,,,,
Travis Etienne Jr.,Travis Etienne,6800,13.4,14.100000000000001,14.6,14.6,16.4,14.18,13.29,13.4,14.020000000000001,14.22111111111111,14.075466666666667,0,RB,,,,,,,,
Zay Flowers,Zay Flowers,7300,12.9,12.660000000000002,13.3,12.06,15.8,12.79,12.22,12.164000000000001,12.616800000000001,12.945644444444444,12.825850666666666,6.67,WR,,,,,,,,
Deshaun Watson,Deshaun Watson,6500,12.7,11.19,12.1,10.74,13.4,12.93,11.92,13.1672,11.97944,12.236293333333332,12.2295072,0,QB,,,,,,,,
DeVonta Smith,DeVonta Smith,7500,12.6,12.22,10.8,13.31,14.5,13.05,12.51,12.375000000000002,12.261000000000001,12.625111111111112,12.535046666666666,8.27,WR,,,,,,,,
Bucky Irving,Bucky Irving,7900,12.5,12.820000000000002,12.7,13.76,12.5,13.46,12.02,12.13,12.782,12.741333333333333,12.679960000000001,12.49,RB,,,,,,,,
D'Andre Swift,DAndre Swift,6600,12.4,12.39,12.7,12.4,14.5,12.28,12.76,12.469,12.471799999999998,12.707866666666666,12.634184000000001,4.93,RB,,,,,,,,
Tetairoa McMillan,Tetairoa McMillan,6800,12.4,11.77,9.3,13.29,12.6,12.57,11.83,11.759000000000002,11.7038,11.913644444444445,11.880310666666666,12.27,WR,,,,,,,,
Tee Higgins,Tee Higgins,7200,12.3,12.409999999999998,12.4,12.74,14.6,13.74,12.16,11.923000000000002,12.354600000000001,12.7364,12.597448000000002,12.41,WR,,,,,,,,
Jameson Williams,Jameson Williams,7100,12,10.680000000000001,9.6,11.52,12.8,12.05,11.67,11.890000000000002,11.138,11.48311111111111,11.449506666666668,8.52,WR,,,,,,,,
Trey McBride,Trey McBride,7600,11.8,11.64,11.1,12.56,13.3,11.01,12.21,11.657000000000002,11.7514,11.892044444444444,11.836298666666668,9.97,TE,,,,,,,,
Garrett Wilson,Garrett Wilson,6900,11.8,11.700000000000001,10.1,13.38,13.9,12.32,12.11,11.803000000000003,11.756600000000002,12.096622222222223,11.992341333333332,11.96,WR,,,,,,,,
David Montgomery,David Montgomery,6300,11.7,12.65,13.2,11.66,11.2,14.19,11.2,12.064,12.2548,12.235422222222223,12.225157333333332,0,RB,,,,,,,,
Jaylen Warren,Jaylen Warren,6500,11.4,11.219999999999999,12.4,10.76,11.6,11.98,10.77,11.849,11.525799999999998,11.500533333333333,11.493904,5.89,RB,,,,,,,,
Cooper Rush,Cooper Rush,6300,11.3,11.203999999999999,11.3,12.44,10.6,10.85,10.97,11.545,11.5578,11.307422222222222,11.319197333333335,0,QB,,,,,,,,
Ladd McConkey,Ladd McConkey,6500,11.3,11.76,10.9,13.63,13.1,10.84,11.74,12.587000000000002,12.035400000000001,11.988044444444444,11.953118666666667,19.64,WR,,,,,,,,
Christian Watson,Christian Watson,6400,11.3,10.15,10.9,9.33,12.7,10.76,10.63,9.909,10.3178,10.666311111111112,10.586630666666668,0,WR,,,,,,,,
Luther Burden III,Luther Burden,6200,11.2,10.34,9.3,12.22,14.4,10.78,11.87,11.604000000000003,10.9328,11.4052,11.287864,0.3,WR,,,,,,,,
Quinshon Judkins,Quinshon Judkins,6400,11.2,10.180000000000001,9.6,11.09,12,9.91,10.87,11.759,10.765800000000002,10.819422222222222,10.835937333333334,0,RB,,,,,,,,
Drake London,Drake London,7900,11,12.24,11,15.35,12.7,11.69,10.5,11.643,12.2466,12.041066666666667,11.929308000000002,18.19,WR,,,,,,,,
Bhayshul Tuten,Bhayshul Tuten,6700,11,10.54,12.2,11.54,11.9,9.73,10.28,10.084,11.072799999999997,10.927422222222223,10.836397333333334,0.13,RB,,,,,,,,
