Player,POS,Team,Opp,Proj,Prop,Metric,Proj Diff,L5 Avg,L5 Diff,L10 Avg,L10 Diff,Odds,Streak,Matchup,2025,2026,H2H,L5,L10,L20,Probability,Weighted Score,Total Odds,$10 Bet Payout,Parlay Probability,Avg Rating,Custom Sheet
Caleb Williams,QB,CHI,MIN,1.92,1.5,Passing Touchdowns,0.41999999999999993,2,0.5,2,0.5,-126,8,24,0.5789473684210527,1,1,1,0.9,0.6,0.5575221238938053,9.665522123893805,,,Last Refresh,,
Kaelon Black,RB,SF,MIA,43.77,39.5,Rushing Yards,4.270000000000003,65,25.5,65,25.5,-113,1,29,,1,1,1,1,1,0.5305164319248826,9.578516431924884,,,2026-09-17 17:52,,
KC Concepcion,WR,CLE,TB,45.48,31.17,Receiving Yards,14.309999999999995,43,11.83,43,11.83,-113,1,4,,1,1,1,1,1,0.5305164319248826,9.45411643192488,,,,,
Alec Pierce,WR,IND,KC,55.75,43.5,Receiving Yards,12.25,59,15.5,67.8,24.3,-113,2,2,0.7333333333333333,1,1,0.6,0.7,0.75,0.5305164319248826,9.334516431924882,,,,,
Mike Gesicki,TE,CIN,HOU,32.66,24.5,Receiving Yards,8.159999999999997,36.8,12.3,34.7,10.2,-114,1,27,0.3333333333333333,1,1,0.6,0.5,0.38461538461538464,0.5327102803738317,9.29871028037383,,,,,
Jameson Williams,WR,DET,BUF,66.05,57.83,Receiving Yards,8.219999999999999,72,14.17,80.7,22.87,-114,0,25,0.5882352941176471,0,0,0.6,0.7,0.5555555555555556,0.5327102803738317,9.213110280373831,,,,,
Jaylen Warren,RB,PIT,NE,44.09,40.5,Rushing Yards,3.5900000000000034,72.4,31.9,57.3,16.8,-112,5,10,0.7058823529411765,1,1,1,0.7,0.7222222222222222,0.5283018867924528,9.070301886792455,,,,,
Chris Rodriguez Jr,RB,,DEN,37.29,24.5,Rushing Yards,12.79,,,,,-114,,31,,,,,,,0.5327102803738317,8.748710280373832,,,,,
Kalif Raymond,WR,CHI,MIN,3.12,2.5,Receptions,0.6200000000000001,3.4,0.9,2.6,0.1,116,2,32,0.26666666666666666,1,1,0.6,0.5,0.3125,0.46296296296296297,8.670962962962964,,,,,
Mack Hollins,WR,NE,PIT,42.83,35.83,Receiving Yards,7,58,22.17,52.2,16.37,-113,5,1,0.5,1,1,1,0.7,0.5294117647058824,0.5305164319248826,8.554916431924884,,,,,
Rachaad White,RB,WAS,DAL,2.18,1.5,Receptions,0.6800000000000002,1.8,0.3,2.1,0.6,-188,4,23,0.7058823529411765,1,1,0.8,0.7,0.7222222222222222,0.6527777777777778,8.540777777777778,,,,,
Rhamondre Stevenson,RB,NE,PIT,22.51,17.83,Receiving Yards,4.680000000000003,34,16.17,34.1,16.27,-113,2,25,0.5,1,1,0.6,0.8,0.5263157894736842,0.5305164319248826,8.512916431924886,,,,,
Jalen Coker,WR,CAR,ATL,55.8,49.5,Receiving Yards,6.299999999999997,76.4,26.9,62.1,12.6,-113,2,8,0.3333333333333333,1,1,0.4,0.5,0.38461538461538464,0.5305164319248826,8.454516431924882,,,,,
Carnell Tate,WR,TEN,PHI,54.84,40.17,Receiving Yards,14.670000000000002,38,-2.17,38,-2.17,-116,0,23,,0,0,0,0,0,0.5370370370370371,8.444637037037038,,,,,
Ashton Jeanty,RB,LV,LAC,75.67,65.5,Rushing Yards,10.170000000000002,82.4,16.9,59,-6.5,-111,2,16,0.29411764705882354,1,1,0.6,0.3,0.3333333333333333,0.5260663507109005,8.4220663507109,,,,,
Quinshon Judkins,RB,CLE,TB,64.82,48,Rushing Yards,16.819999999999993,38.6,-9.4,47.7,-0.3,-112,0,20,0.5714285714285714,0,0,0.2,0.4,0.5333333333333333,0.5283018867924528,8.31630188679245,,,,,
Drake London,WR,ATL,CAR,69.29,56,Receiving Yards,13.290000000000006,51.4,-4.6,78.9,22.9,-113,0,24,0.5,0,0,0.4,0.6,0.46153846153846156,0.5305164319248826,8.256516431924885,,,,,
DJ Moore,WR,BUF,DET,0.54,1,Anytime Touchdown,-0.45999999999999996,0.6,-0.4,0.8,-0.2,145,3,31,0.3684210526315789,1,1,0.6,0.6,0.4,0.40816326530612246,8.248163265306122,,,,,
Saquon Barkley,RB,PHI,TEN,85.06,79.5,Rushing Yards,5.560000000000002,93.4,13.9,81,1.5,-114,2,24,0.35294117647058826,1,1,0.6,0.5,0.3888888888888889,0.5327102803738317,8.244710280373834,,,,,
Tony Pollard,RB,TEN,PHI,49.92,45.17,Rushing Yards,4.75,74.8,29.63,69.3,24.13,-113,0,13,0.6470588235294118,0,0,0.8,0.7,0.6111111111111112,0.5305164319248826,8.200116431924883,,,,,
Bijan Robinson,RB,ATL,CAR,0.81,1,Anytime Touchdown,-0.18999999999999995,1,0,0.8,-0.2,-212,1,32,0.5294117647058824,1,1,0.8,0.6,0.5555555555555556,0.6794871794871795,8.173487179487179,,,,,
Jahmyr Gibbs,RB,DET,BUF,1.04,1,Anytime Touchdown,0.040000000000000036,0.8,-0.2,1.3,0.3,-309,2,27,0.5882352941176471,1,1,0.6,0.6,0.6111111111111112,0.7555012224938875,8.125501222493888,,,,,
Tucker Kraft,TE,GB,NYJ,53.51,46.17,Receiving Yards,7.339999999999996,65.8,19.63,61.556,15.386,-115,1,10,0.5,1,1,0.6,0.5555555555555556,0.5555555555555556,0.5348837209302325,8.109603720930231,,,,,
Rhamondre Stevenson,RB,NE,PIT,3.01,2.5,Receptions,0.5099999999999998,3.4,0.9,3.2,0.7,-153,2,25,0.4444444444444444,1,1,0.8,0.7,0.47368421052631576,0.6047430830039525,8.086743083003952,,,,,
George Kittle,TE,SF,MIA,52.11,41.5,Receiving Yards,10.61,50,8.5,57.8,16.3,-112,0,11,0.5833333333333334,0,0.5,0.4,0.6,0.5384615384615384,0.5283018867924528,8.085301886792452,,,,,
Joshua Palmer,WR,,DET,23.46,12.5,Receiving Yards,10.96,,,,,-120,,31,,,,,,,0.5454545454545454,8.029454545454545,,,,,
Patrick Mahomes,QB,KC,IND,223.79,219,Passing Yards,4.789999999999992,229.2,10.2,251.4,32.4,-113,0,28,0.7857142857142857,0,0.5,0.4,0.7,0.7333333333333333,0.5305164319248826,7.95151643192488,,,,,
Derrick Henry,RB,BAL,NO,0.91,1,Anytime Touchdown,-0.08999999999999997,1.8,0.8,1.3,0.3,-271,1,28,0.5294117647058824,1,1,0.6,0.6,0.5555555555555556,0.7304582210242587,7.948458221024259,,,,,
Khalil Shakir,WR,BUF,DET,46.24,43.5,Receiving Yards,2.740000000000002,55.2,11.7,46.9,3.4,-119,3,31,0.5555555555555556,1,1,0.6,0.5,0.5789473684210527,0.54337899543379,7.94537899543379,,,,,
